PCTNAME	MCDNAME	COUNTYNAME	TOTVOTING	USPRSR	USPRSDFL	USPRSTOTAL	pct_usprsr_2012	pct_usprsd_2012	victory_margin_2012
KOOCHICHING POLL 5	Rainy Lake Unorganized	Koochiching	283	114	164	283	40.28	57.95	-18
LITTLEFORK	Littlefork	Koochiching	305	143	158	302	47.35	52.32	-5
MIZPAH CITY	Mizpah	Koochiching	23	13	8	21	61.9	38.1	24
NORTHOME	Northome	Koochiching	83	38	42	83	45.78	50.6	-5
RANIER P-E	Ranier	Koochiching	125	51	67	124	41.13	54.03	-13
RANIER P-W	Ranier	Koochiching	215	84	121	212	39.62	57.08	-17
SCARLETT PRECINCT	Rainy Lake Unorganized	Koochiching	70	39	28	69	56.52	40.58	16
MEADOWBROOK PRECINCT	East Koochiching Unorganized	Koochiching	70	44	21	70	62.86	30	33
WEST KOOCHICHING	Northwest Koochiching Unorganized	Koochiching	0	0	0	0			
CENTRAL KOOCHICHING	East Koochiching Unorganized	Koochiching	353	194	147	350	55.43	42	13
NORTHWEST KOOCHICHING	Northwest Koochiching Unorganized	Koochiching	312	172	134	310	55.48	43.23	12
SOUTHEAST KOOCHICHING	South Koochiching Unorganized	Koochiching	30	6	18	29	20.69	62.07	-41
SOUTHWEST KOOCHICHING	Northome Unorganized	Koochiching	245	149	91	244	61.07	37.3	24
AGASSIZ TWP.	Agassiz Twp	Lac Qui Parle	45	20	22	45	44.44	48.89	-4
ARENA TWP.	Arena Twp	Lac Qui Parle	73	53	19	72	73.61	26.39	47
AUGUSTA TWP.	Augusta Twp	Lac Qui Parle	69	28	39	69	40.58	56.52	-16
BAXTER TWP.	Baxter Twp	Lac Qui Parle	117	55	61	116	47.41	52.59	-5
BELLINGHAM	Bellingham	Lac Qui Parle	91	50	39	91	54.95	42.86	12
BOYD	Boyd	Lac Qui Parle	83	27	52	83	32.53	62.65	-30
CAMP RELEASE TWP.	Camp Release Twp	Lac Qui Parle	182	115	65	181	63.54	35.91	28
CERRO GORDO TWP.	Cerro Gordo Twp	Lac Qui Parle	118	49	64	118	41.53	54.24	-13
DAWSON	Dawson	Lac Qui Parle	776	318	440	768	41.41	57.29	-16
FREELAND TWP.	Freeland Twp	Lac Qui Parle	60	32	27	59	54.24	45.76	8
GARFIELD TWP.	Garfield Twp	Lac Qui Parle	72	31	38	70	44.29	54.29	-10
HAMLIN TWP.	Hamlin Twp	Lac Qui Parle	101	48	50	100	48	50	-2
HANTHO TWP.	Hantho Twp	Lac Qui Parle	77	40	37	77	51.95	48.05	4
LAC QUI PARLE TWP.	Lac Qui Parle Twp	Lac Qui Parle	113	45	63	112	40.18	56.25	-16
LAKE SHORE TWP.	Lake Shore Twp	Lac Qui Parle	119	48	70	118	40.68	59.32	-19
LOUISBURG	Louisburg	Lac Qui Parle	27	9	17	27	33.33	62.96	-30
MADISON	Madison	Lac Qui Parle	815	365	433	812	44.95	53.33	-8
MADISON TWP.	Madison Twp	Lac Qui Parle	129	66	61	129	51.16	47.29	4
MANFRED TWP.	Manfred Twp	Lac Qui Parle	55	21	31	55	38.18	56.36	-18
MARIETTA	Marietta	Lac Qui Parle	91	44	44	91	48.35	48.35	0
MAXWELL TWP.	Maxwell Twp	Lac Qui Parle	100	60	39	100	60	39	21
MEHURIN TWP.	Mehurin Twp	Lac Qui Parle	46	22	24	46	47.83	52.17	-4
NASSAU	Nassau	Lac Qui Parle	46	33	13	46	71.74	28.26	43
PERRY TWP.	Perry Twp	Lac Qui Parle	67	42	24	67	62.69	35.82	27
PROVIDENCE TWP.	Providence Twp	Lac Qui Parle	107	58	47	106	54.72	44.34	10
RIVERSIDE TWP.	Riverside Twp	Lac Qui Parle	171	88	80	171	51.46	46.78	5
TEN MILE LAKE TWP.	Ten Mile Lake Twp	Lac Qui Parle	90	45	42	90	50	46.67	3
WALTER TWP.	Walter Twp	Lac Qui Parle	82	65	16	81	80.25	19.75	61
YELLOW BANK TWP.	Yellow Bank Twp	Lac Qui Parle	85	61	17	84	72.62	20.24	52
BEAVER BAY	Beaver Bay	Lake	116	60	52	115	52.17	45.22	7
BEAVER BAY TWP. P-1	Beaver Bay Twp	Lake	172	84	85	171	49.12	49.71	-1
BEAVER BAY TWP. P-4	Beaver Bay Twp	Lake	161	71	87	161	44.1	54.04	-10
CRYSTAL BAY P-1	Crystal Bay Twp	Lake	290	74	202	287	25.78	70.38	-45
FALL LAKE TWP.	Fall Lake Twp	Lake	510	241	252	506	47.63	49.8	-2
SILVER BAY P-1	Silver Bay	Lake	361	149	203	358	41.62	56.7	-15
SILVER BAY P-2	Silver Bay	Lake	789	381	386	788	48.35	48.98	-1
SILVER CREEK	Silver Creek Twp	Lake	740	273	441	735	37.14	60	-23
STONY RIVER TWP.	Stony River Twp	Lake	114	55	51	114	48.25	44.74	4
TWO HARBORS W-1	Two Harbors	Lake	513	153	350	513	29.82	68.23	-38
TWO HARBORS W-2	Two Harbors	Lake	451	148	289	449	32.96	64.37	-31
TWO HARBORS W-3	Two Harbors	Lake	548	169	362	544	31.07	66.54	-35
TWO HARBORS W-4	Two Harbors	Lake	602	195	393	597	32.66	65.83	-33
UNORG TERR NO 1	Lake County Territory 1 Unorganized	Lake	98	43	52	98	43.88	53.06	-9
UNORG TERR NO 2 PREC 1	Lake County Territory 2 Unorganized	Lake	213	69	136	213	32.39	63.85	-31
UNORG TERR NO 2 PREC 2	Lake County Territory 2 Unorganized	Lake	392	145	240	391	37.08	61.38	-24
UNORG TERR NO 2 PREC 3	Lake County Territory 2 Unorganized	Lake	443	160	271	439	36.45	61.73	-25
UNORG TERR NO 2 PREC 4	Lake County Territory 2 Unorganized	Lake	257	91	159	256	35.55	62.11	-27
UNORG TERR NO 2 PREC 5	Lake County Territory 2 Unorganized	Lake	85	49	32	85	57.65	37.65	20
0005 - 1-A BAUDETTE UNORG	Baudette Unorganized	Lake Of The Woods	122	80	39	122	65.57	31.97	34
0010 - 1-B BAUDETTE CITY	Baudette	Lake Of The Woods	280	136	136	279	48.75	48.75	0
0015 - 2-A GUDRID UNORG	Baudette Unorganized	Lake Of The Woods	121	76	41	119	63.87	34.45	29
0020 - 2-B BAUDETTE CITY	Baudette	Lake Of The Woods	243	154	83	240	64.17	34.58	30
0030 - 3-A UNORG	Beltrami Forest Unorganized	Lake Of The Woods	193	122	58	193	63.21	30.05	33
0031 - 3-C S MCDOUGALD UNORG	Beltrami Forest Unorganized	Lake Of The Woods	52	22	27	52	42.31	51.92	-10
0035 - 3-D FOREST UNORG	Beltrami Forest Unorganized	Lake Of The Woods	47	29	16	47	61.7	34.04	28
0040 - 4-A WHEELER UNORG	Baudette Unorganized	Lake Of The Woods	197	122	74	197	61.93	37.56	24
0044 - 4-B WABANICA UNORG	Baudette Unorganized	Lake Of The Woods	251	123	118	248	49.6	47.58	2
0045 - 5-B ZIPPEL UNORG	Baudette Unorganized	Lake Of The Woods	66	39	25	66	59.09	37.88	21
0046 - 4-C N MCDOUGALD UNORG	Baudette Unorganized	Lake Of The Woods	60	40	19	60	66.67	31.67	35
0050 - 5-A UNORG	Beltrami Forest Unorganized	Lake Of The Woods	308	191	108	306	62.42	35.29	27
0055 - 3-B WILLIAMS CITY	Williams	Lake Of The Woods	76	30	39	76	39.47	51.32	-12
0065 - 2-C UNORG	Beltrami Forest Unorganized	Lake Of The Woods	89	48	32	87	55.17	36.78	18
0070 - 5-C NW ANGLE	N.w. Angle Unorganized	Lake Of The Woods	95	68	25	95	71.58	26.32	45
0075 - 5-D ROOSEVELT	Roosevelt	Lake Of The Woods	1	1	0	1	100	0	100
0080 - 3-E BAUDETTE CITY	Baudette	Lake Of The Woods	46	25	19	46	54.35	41.3	13
CLEVELAND	Cleveland	Le Sueur	396	167	215	393	42.49	54.71	-12
CLEVELAND TWP.	Cleveland Twp	Le Sueur	434	238	188	433	54.97	43.42	12
CORDOVA TWP.	Cordova Twp	Le Sueur	267	140	114	266	52.63	42.86	10
DERRYNANE TWP.	Derrynane Twp	Le Sueur	287	171	112	287	59.58	39.02	21
ELYSIAN	Elysian	Le Sueur	421	217	197	418	51.91	47.13	5
ELYSIAN TWP.	Elysian Twp	Le Sueur	622	338	269	620	54.52	43.39	11
HEIDELBERG	Heidelberg	Le Sueur	78	40	35	77	51.95	45.45	7
KASOTA	Kasota	Le Sueur	359	130	213	359	36.21	59.33	-23
KASOTA TWP. P-1	Kasota Twp	Le Sueur	268	124	138	267	46.44	51.69	-5
KASOTA TWP. P-2	Kasota Twp	Le Sueur	690	339	334	684	49.56	48.83	1
KILKENNY	Kilkenny	Le Sueur	76	33	37	76	43.42	48.68	-5
KILKENNY TWP.	Kilkenny Twp	Le Sueur	234	145	86	233	62.23	36.91	25
LANESBURGH TWP.	Lanesburgh Twp	Le Sueur	1169	732	408	1168	62.67	34.93	28
LE CENTER	Le Center	Le Sueur	1051	530	489	1044	50.77	46.84	4
LE SUEUR W-1	Le Sueur	Le Sueur	1162	554	572	1150	48.17	49.74	-2
LE SUEUR W-2	Le Sueur	Le Sueur	806	376	402	802	46.88	50.12	-3
LEXINGTON TWP.	Lexington Twp	Le Sueur	428	241	179	424	56.84	42.22	15
MANKATO	Mankato	Le Sueur	0	0	0	0			
MONTGOMERY	Montgomery	Le Sueur	1481	720	716	1477	48.75	48.48	0
MONTGOMERY TWP.	Montgomery Twp	Le Sueur	360	220	132	358	61.45	36.87	25
NEW PRAGUE	New Prague	Le Sueur	1550	860	654	1543	55.74	42.38	13
OTTAWA TWP.	Ottawa Twp	Le Sueur	171	78	89	170	45.88	52.35	-6
SHARON TWP.	Sharon Twp	Le Sueur	387	208	170	386	53.89	44.04	10
TYRONE TWP.	Tyrone Twp	Le Sueur	335	176	154	335	52.54	45.97	7
WASHINGTON TWP.	Washington Twp	Le Sueur	538	335	195	537	62.38	36.31	26
WATERVILLE	Waterville	Le Sueur	881	370	480	875	42.29	54.86	-13
WATERVILLE TWP.	Waterville Twp	Le Sueur	415	233	175	413	56.42	42.37	14
ALTA VISTA TWP	Alta Vista Twp	Lincoln	111	51	59	110	46.36	53.64	-7
ARCO	Arco	Lincoln	42	11	25	40	27.5	62.5	-35
ASH LAKE TWP	Ash Lake Twp	Lincoln	100	49	51	100	49	51	-2
DIAMOND LAKE TWP	Diamond Lake Twp	Lincoln	97	63	31	96	65.63	32.29	33
DRAMMEN TWP	Drammen Twp	Lincoln	53	33	16	53	62.26	30.19	32
HANSONVILLE TWP	Hansonville Twp	Lincoln	54	28	24	54	51.85	44.44	7
HENDRICKS	Hendricks	Lincoln	351	173	168	347	49.86	48.41	1
HENDRICKS TWP	Hendricks Twp	Lincoln	119	65	51	117	55.56	43.59	12
HOPE TWP	Hope Twp	Lincoln	148	91	57	148	61.49	38.51	23
IVANHOE	Ivanhoe	Lincoln	344	133	190	340	39.12	55.88	-17
LAKE BENTON	Lake Benton	Lincoln	347	198	130	344	57.56	37.79	20
LAKE BENTON TWP	Lake Benton Twp	Lincoln	116	78	36	116	67.24	31.03	36
LAKE STAY TWP	Lake Stay Twp	Lincoln	77	35	39	77	45.45	50.65	-5
LIMESTONE TWP	Limestone Twp	Lincoln	79	42	34	79	53.16	43.04	10
MARBLE TWP	Marble Twp	Lincoln	84	30	52	83	36.14	62.65	-27
MARSHFIELD TWP	Marshfield Twp	Lincoln	119	63	54	119	52.94	45.38	8
ROYAL TWP	Royal Twp	Lincoln	106	51	46	103	49.51	44.66	5
SHAOKATAN TWP	Shaokatan Twp	Lincoln	118	57	60	118	48.31	50.85	-3
TYLER	Tyler	Lincoln	615	301	284	608	49.51	46.71	3
VERDI TWP	Verdi Twp	Lincoln	68	43	22	68	63.24	32.35	31
AMIRET TWP	Amiret Twp	Lyon	133	89	40	132	67.42	30.3	37
BALATON	Balaton	Lyon	319	177	128	317	55.84	40.38	15
CLIFTON TWP	Clifton Twp	Lyon	129	78	48	128	60.94	37.5	23
COON CREEK TWP	Coon Creek Twp	Lyon	144	88	54	143	61.54	37.76	24
COTTONWOOD	Cottonwood	Lyon	613	308	287	609	50.57	47.13	3
CUSTER TWP	Custer Twp	Lyon	112	62	45	111	55.86	40.54	15
EIDSVOLD TWP	Eidsvold Twp	Lyon	106	58	43	104	55.77	41.35	14
FAIRVIEW TWP	Fairview Twp	Lyon	211	144	53	207	69.57	25.6	44
FLORENCE	Florence	Lyon	15	6	9	15	40	60	-20
GARVIN	Garvin	Lyon	61	17	42	61	27.87	68.85	-41
GHENT	Ghent	Lyon	182	86	90	180	47.78	50	-2
GRANDVIEW TWP	Grandview Twp	Lyon	161	106	42	159	66.67	26.42	40
ISLAND LAKE TWP	Island Lake Twp	Lyon	108	76	30	107	71.03	28.04	43
LAKE MARSHALL TWP	Lake Marshall Twp	Lyon	322	212	107	322	65.84	33.23	33
LUCAS TWP	Lucas Twp	Lyon	110	79	29	110	71.82	26.36	45
LYND	Lynd	Lyon	204	94	103	203	46.31	50.74	-4
LYND TWP	Lynd Twp	Lyon	247	148	91	246	60.16	36.99	23
LYONS TWP	Lyons Twp	Lyon	121	86	33	120	71.67	27.5	44
MARSHALL W-1	Marshall	Lyon	2129	1006	1060	2117	47.52	50.07	-3
MARSHALL W-2	Marshall	Lyon	2217	1168	993	2208	52.9	44.97	8
MARSHALL W-3	Marshall	Lyon	1964	948	943	1955	48.49	48.24	0
MINNEOTA	Minneota	Lyon	669	372	278	667	55.77	41.68	14
MONROE TWP	Monroe Twp	Lyon	116	76	39	116	65.52	33.62	32
NORDLAND TWP	Nordland Twp	Lyon	113	69	39	113	61.06	34.51	27
ROCK LAKE TWP	Rock Lake Twp	Lyon	161	110	44	161	68.32	27.33	41
RUSSELL	Russell	Lyon	148	70	76	148	47.3	51.35	-4
SHELBURNE TWP	Shelburne Twp	Lyon	87	57	30	87	65.52	34.48	31
SODUS TWP	Sodus Twp	Lyon	172	108	53	165	65.45	32.12	33
STANLEY TWP	Stanley Twp	Lyon	139	95	36	138	68.84	26.09	43
TAUNTON	Taunton	Lyon	63	26	36	63	41.27	57.14	-16
TRACY	Tracy	Lyon	927	413	475	920	44.89	51.63	-7
VALLERS TWP	Vallers Twp	Lyon	115	76	37	114	66.67	32.46	34
WESTERHEIM TWP	Westerheim Twp	Lyon	143	86	52	142	60.56	36.62	24
ACOMA TOWNSHIP	Acoma Twp	Mcleod	706	431	246	699	61.66	35.19	26
BERGEN TOWNSHIP	Bergen Twp	Mcleod	514	363	134	514	70.62	26.07	45
BISCAY CITY	Biscay	Mcleod	58	30	25	57	52.63	43.86	9
BROWNTON CITY	Brownton	Mcleod	390	224	154	388	57.73	39.69	18
COLLINS TOWNSHIP	Collins Twp	Mcleod	257	165	88	255	64.71	34.51	30
GLENCOE CITY P-1	Glencoe	Mcleod	629	347	259	625	55.52	41.44	14
GLENCOE CITY P-2	Glencoe	Mcleod	665	391	258	661	59.15	39.03	20
GLENCOE CITY P-3	Glencoe	Mcleod	718	382	318	717	53.28	44.35	9
GLENCOE CITY P-4	Glencoe	Mcleod	585	361	200	584	61.82	34.25	28
GLENCOE TOWNSHIP	Glencoe Twp	Mcleod	298	203	87	296	68.58	29.39	39
HALE TOWNSHIP	Hale Twp	Mcleod	518	307	189	517	59.38	36.56	23
HASSAN VALLEY TOWNSHIP	Hassan Valley Twp	Mcleod	381	253	122	380	66.58	32.11	34
HELEN TOWNSHIP	Helen Twp	Mcleod	491	328	153	490	66.94	31.22	36
HUTCHINSON CITY P-1	Hutchinson	Mcleod	2215	1207	915	2204	54.76	41.52	13
HUTCHINSON CITY P-2	Hutchinson	Mcleod	2197	1204	911	2183	55.15	41.73	13
HUTCHINSON CITY P-3	Hutchinson	Mcleod	2541	1414	1047	2525	56	41.47	15
HUTCHINSON TOWNSHIP	Hutchinson Twp	Mcleod	698	445	231	696	63.94	33.19	31
LESTER PRAIRIE CITY	Lester Prairie	Mcleod	862	539	295	856	62.97	34.46	29
LYNN TOWNSHIP	Lynn Twp	Mcleod	312	214	90	310	69.03	29.03	40
PENN TOWNSHIP	Penn Twp	Mcleod	173	117	47	172	68.02	27.33	41
PLATO CITY	Plato	Mcleod	188	128	58	188	68.09	30.85	37
RICH VALLEY TOWNSHIP	Rich Valley Twp	Mcleod	411	266	134	410	64.88	32.68	32
ROUND GROVE TOWNSHIP	Round Grove Twp	Mcleod	139	92	42	138	66.67	30.43	36
SILVER LAKE CITY	Silver Lake	Mcleod	411	199	193	407	48.89	47.42	1
STEWART CITY	Stewart	Mcleod	251	130	107	247	52.63	43.32	9
SUMTER TOWNSHIP	Sumter Twp	Mcleod	277	190	82	277	68.59	29.6	39
WINSTED CITY	Winsted	Mcleod	1192	752	405	1188	63.3	34.09	29
WINSTED TOWNSHIP	Winsted Twp	Mcleod	573	387	178	569	68.01	31.28	37
BEAULIEU TWP	Beaulieu Twp	Mahnomen	53	26	25	53	49.06	47.17	2
BEJOU	Bejou	Mahnomen	41	15	26	41	36.59	63.41	-27
BEJOU TWP	Bejou Twp	Mahnomen	45	21	23	45	46.67	51.11	-4
CHIEF TWP	Chief Twp	Mahnomen	50	29	20	49	59.18	40.82	18
CLOVER TWP	Clover Twp	Mahnomen	32	10	22	32	31.25	68.75	-37
GREGORY TWP	Gregory Twp	Mahnomen	49	21	28	49	42.86	57.14	-14
HEIER TWP	Heier Twp	Mahnomen	69	33	33	69	47.83	47.83	0
ISLAND LAKE TWP	Island Lake Twp	Mahnomen	122	67	53	121	55.37	43.8	12
LA GARDE TWP	La Garde Twp	Mahnomen	75	40	33	74	54.05	44.59	9
LAKE GROVE TWP	Lake Grove Twp	Mahnomen	80	41	38	79	51.9	48.1	4
MAHNOMEN	Mahnomen	Mahnomen	492	173	305	486	35.6	62.76	-27
MARSH CREEK TWP	Marsh Creek Twp	Mahnomen	64	31	33	64	48.44	51.56	-3
OAKLAND TWP	Oakland Twp	Mahnomen	116	63	49	116	54.31	42.24	12
PEMBINA TWP	Pembina Twp	Mahnomen	261	111	145	258	43.02	56.2	-13
POPPLE GROVE TWP	Popple Grove Twp	Mahnomen	66	22	38	66	33.33	57.58	-24
ROSEDALE TWP	Rosedale Twp	Mahnomen	83	49	34	83	59.04	40.96	18
TWIN LAKES TWP	Twin Lakes Twp	Mahnomen	216	29	185	215	13.49	86.05	-73
LITTLE ELBOW TWP	Little Elbow Twp	Mahnomen	97	22	73	97	22.68	75.26	-53
WAUBUN	Waubun	Mahnomen	189	68	113	185	36.76	61.08	-24
AGDER TWP.	Agder Twp	Marshall	61	38	16	56	67.86	28.57	39
ALMA TWP.	Alma Twp	Marshall	48	26	17	44	59.09	38.64	20
ALVARADO	Alvarado	Marshall	142	79	59	140	56.43	42.14	14
ARGYLE	Argyle	Marshall	351	189	144	343	55.1	41.98	13
AUGSBURG TWP.	Augsburg Twp	Marshall	56	28	18	46	60.87	39.13	22
BIG WOODS TWP.	Big Woods Twp	Marshall	17	11	6	17	64.71	35.29	29
BLOOMER TWP.	Bloomer Twp	Marshall	55	26	28	54	48.15	51.85	-4
BOXVILLE TWP.	Boxville Twp	Marshall	24	16	5	22	72.73	22.73	50
CEDAR TWP.	Cedar Twp	Marshall	40	28	10	39	71.79	25.64	46
COMO TWP.	Como Twp	Marshall	25	8	17	25	32	68	-36
COMSTOCK TWP.	Comstock Twp	Marshall	73	42	28	70	60	40	20
DONNELLY TWP.	Donnelly Twp	Marshall	13	13	0	13	100	0	100
EAGLE POINT TWP.	Eagle Point Twp	Marshall	5	3	2	5	60	40	20
EAST PARK TWP.	East Park Twp	Marshall	4	2	1	4	50	25	25
EAST VALLEY TWP.	East Valley Twp	Marshall	16	12	4	16	75	25	50
ECKVOLL TWP.	Eckvoll Twp	Marshall	37	14	20	35	40	57.14	-17
ESPELIE TWP.	Espelie Twp	Marshall	28	16	10	26	61.54	38.46	23
EXCEL TWP.	Excel Twp	Marshall	150	80	60	144	55.56	41.67	14
FOLDAHL TWP.	Foldahl Twp	Marshall	49	21	24	48	43.75	50	-6
FORK TWP.	Fork Twp	Marshall	7	5	2	7	71.43	28.57	43
GRAND PLAIN TWP.	Grand Plain Twp	Marshall	31	10	20	31	32.26	64.52	-32
GRYGLA	Grygla	Marshall	99	31	59	92	33.7	64.13	-30
HOLT	Holt	Marshall	36	21	12	35	60	34.29	26
HOLT TWP.	Holt Twp	Marshall	75	38	27	66	57.58	40.91	17
HUNTLY TWP.	Huntly Twp	Marshall	35	15	19	34	44.12	55.88	-12
LINCOLN TWP.	Lincoln Twp	Marshall	66	28	30	62	45.16	48.39	-3
LINSELL TWP.	Linsell Twp	Marshall	19	8	10	18	44.44	55.56	-11
MCCREA TWP.	Mccrea Twp	Marshall	147	91	44	135	67.41	32.59	35
MARSH GROVE TWP.	Marsh Grove Twp	Marshall	73	44	20	67	65.67	29.85	36
MIDDLE RIVER	Middle River	Marshall	120	49	68	119	41.18	57.14	-16
MIDDLE RIVER TWP.	Middle River Twp	Marshall	46	27	14	43	62.79	32.56	30
MOOSE RIVER TWP.	Moose River Twp	Marshall	22	16	6	22	72.73	27.27	45
MOYLAN TWP.	Moylan Twp	Marshall	63	34	26	61	55.74	42.62	13
MUD LAKE UNORG	Mud Lake Unorg	Marshall	0	0	0	0			
NELSON PARK TWP.	Nelson Park Twp	Marshall	78	36	37	74	48.65	50	-1
NEWFOLDEN	Newfolden	Marshall	172	82	73	157	52.23	46.5	6
NEW FOLDEN TWP.	New Folden Twp	Marshall	121	73	36	115	63.48	31.3	32
NEW MAINE TWP.	New Maine Twp	Marshall	104	59	39	98	60.2	39.8	20
NEW SOLUM TWP.	New Solum Twp	Marshall	158	89	66	158	56.33	41.77	15
OAK PARK TWP.	Oak Park Twp	Marshall	73	28	39	68	41.18	57.35	-16
OSLO	Oslo	Marshall	116	41	57	101	40.59	56.44	-16
PARKER TWP.	Parker Twp	Marshall	19	11	7	18	61.11	38.89	22
ROLLIS TWP.	Rollis Twp	Marshall	71	25	39	66	37.88	59.09	-21
SINNOTT TWP.	Sinnott Twp	Marshall	13	8	4	13	61.54	30.77	31
SPRUCE VALLEY TWP.	Spruce Valley Twp	Marshall	97	47	41	95	49.47	43.16	6
STEPHEN	Stephen	Marshall	348	182	148	343	53.06	43.15	10
STRANDQUIST	Strandquist	Marshall	42	12	23	36	33.33	63.89	-31
TAMARAC TWP.	Tamarac Twp	Marshall	62	34	17	51	66.67	33.33	33
THIEF LAKE TWP.	Thief Lake Twp	Marshall	34	9	20	31	29.03	64.52	-35
VALLEY TWP.	Valley Twp	Marshall	86	46	34	80	57.5	42.5	15
VEGA TWP.	Vega Twp	Marshall	85	46	28	80	57.5	35	23
VELDT TWP.	Veldt Twp	Marshall	21	11	9	21	52.38	42.86	10
VIKING	Viking	Marshall	55	26	18	48	54.17	37.5	17
VIKING TWP.	Viking Twp	Marshall	82	41	25	70	58.57	35.71	23
WANGER TWP.	Wanger Twp	Marshall	38	15	21	36	41.67	58.33	-17
WARREN W-1	Warren	Marshall	436	250	169	431	58	39.21	19
WARREN W-2	Warren	Marshall	365	202	150	362	55.8	41.44	14
WARRENTON TWP.	Warrenton Twp	Marshall	60	43	10	54	79.63	18.52	61
WEST VALLEY TWP.	West Valley Twp	Marshall	78	43	23	68	63.24	33.82	29
WHITEFORD TWP.	Whiteford Twp	Marshall	25	6	17	25	24	68	-44
WRIGHT TWP.	Wright Twp	Marshall	63	35	22	60	58.33	36.67	22
CEDAR TWP.	Cedar Twp	Martin	133	89	42	133	66.92	31.58	35
CENTER CREEK TWP.	Center Creek Twp	Martin	137	82	49	135	60.74	36.3	24
CEYLON	Ceylon	Martin	160	82	73	159	51.57	45.91	6
DUNNELL	Dunnell	Martin	92	49	40	92	53.26	43.48	10
EAST CHAIN TWP.	East Chain Twp	Martin	170	135	33	170	79.41	19.41	60
ELM CREEK TWP.	Elm Creek Twp	Martin	116	70	43	114	61.4	37.72	24
FAIRMONT W-1 P-1	Fairmont	Martin	673	417	247	670	62.24	36.87	25
FAIRMONT W-1 P-2	Fairmont	Martin	927	553	343	922	59.98	37.2	23
FAIRMONT W-2 P-1	Fairmont	Martin	688	410	259	684	59.94	37.87	22
FAIRMONT W-2 P-2	Fairmont	Martin	891	551	319	881	62.54	36.21	26
FAIRMONT W-3 P-1	Fairmont	Martin	505	260	223	503	51.69	44.33	7
FAIRMONT W-3 P-2	Fairmont	Martin	577	343	221	573	59.86	38.57	21
FAIRMONT W-4 P-1	Fairmont	Martin	574	332	223	567	58.55	39.33	19
FAIRMONT W-4 P-2	Fairmont	Martin	546	259	261	540	47.96	48.33	0
FAIRMONT TWP.	Fairmont Twp	Martin	179	113	60	178	63.48	33.71	30
FOX LAKE TWP.	Fox Lake Twp	Martin	174	108	59	174	62.07	33.91	28
FRASER TWP.	Fraser Twp	Martin	146	97	47	146	66.44	32.19	34
GALENA TWP.	Galena Twp	Martin	138	81	50	136	59.56	36.76	23
GRANADA	Granada	Martin	148	80	59	147	54.42	40.14	14
JAY TWP.	Jay Twp	Martin	136	97	35	136	71.32	25.74	46
LAKE BELT TWP.	Lake Belt Twp	Martin	134	95	38	134	70.9	28.36	43
LAKE FREMONT TWP.	Lake Fremont Twp	Martin	95	73	22	95	76.84	23.16	54
MANYASKA TWP.	Manyaska Twp	Martin	197	130	63	195	66.67	32.31	34
NASHVILLE TWP.	Nashville Twp	Martin	124	80	41	123	65.04	33.33	32
NORTHROP	Northrop	Martin	138	80	57	138	57.97	41.3	17
ORMSBY	Ormsby	Martin	28	14	12	28	50	42.86	7
PLEASANT PRAIRIE TWP.	Pleasant Prairie Twp	Martin	129	82	45	129	63.57	34.88	29
ROLLING GREEN TWP.	Rolling Green Twp	Martin	149	90	52	147	61.22	35.37	26
RUTLAND TWP.	Rutland Twp	Martin	258	182	71	258	70.54	27.52	43
SHERBURN	Sherburn	Martin	560	318	219	558	56.99	39.25	18
SILVER LAKE TWP.	Silver Lake Twp	Martin	338	228	98	335	68.06	29.25	39
TENHASSEN TWP.	Tenhassen Twp	Martin	148	108	36	147	73.47	24.49	49
TRIMONT	Trimont	Martin	379	224	146	377	59.42	38.73	21
TRUMAN	Truman	Martin	576	363	197	570	63.68	34.56	29
WAVERLY TWP.	Waverly Twp	Martin	129	65	60	128	50.78	46.88	4
WELCOME	Welcome	Martin	369	185	170	369	50.14	46.07	4
WESTFORD TWP.	Westford Twp	Martin	178	132	41	177	74.58	23.16	51
ACTON TWP.	Acton Twp	Meeker	207	88	103	206	42.72	50	-7
CEDAR MILLS	Cedar Mills	Meeker	24	16	8	24	66.67	33.33	33
CEDAR MILLS TWP.	Cedar Mills Twp	Meeker	250	162	78	249	65.06	31.33	34
COLLINWOOD TWP.	Collinwood Twp	Meeker	656	430	203	653	65.85	31.09	35
COSMOS	Cosmos	Meeker	237	83	144	235	35.32	61.28	-26
COSMOS TWP.	Cosmos Twp	Meeker	121	71	44	121	58.68	36.36	22
DANIELSON TWP.	Danielson Twp	Meeker	178	96	75	174	55.17	43.1	12
DARWIN	Darwin	Meeker	170	85	71	170	50	41.76	8
DARWIN TWP.	Darwin Twp	Meeker	408	236	165	408	57.84	40.44	17
DASSEL	Dassel	Meeker	741	448	270	736	60.87	36.68	24
DASSEL TWP.	Dassel Twp	Meeker	907	586	297	905	64.75	32.82	32
EDEN VALLEY	Eden Valley	Meeker	255	122	117	251	48.61	46.61	2
ELLSWORTH TWP.	Ellsworth Twp	Meeker	565	369	185	563	65.54	32.86	33
FOREST CITY TWP.	Forest City Twp	Meeker	382	226	149	379	59.63	39.31	20
FOREST PRAIRIE TWP.	Forest Prairie Twp	Meeker	498	298	190	495	60.2	38.38	22
GREENLEAF TWP.	Greenleaf Twp	Meeker	450	232	209	449	51.67	46.55	5
GROVE CITY	Grove City	Meeker	314	152	153	311	48.87	49.2	0
HARVEY TWP.	Harvey Twp	Meeker	204	117	75	201	58.21	37.31	21
